"b","unit","day","dentadult","dentinf"
5,"u4",27,6,2
5,"u4",32,1,0
5,"u4",37,0,1
5,"u4",42,1,0
5,"u4",47,0,0
5,"u4",52,1,0
5,"u5",7,3,0
5,"u5",12,13,0
5,"u5",17,27,2
5,"u5",22,57,3
5,"u5",27,40,10
5,"u5",32,40,1
5,"u5",37,38,5
5,"u5",42,21,13
5,"u5",47,20,0
5,"u5",52,3,3
5,"u6",7,1,0
5,"u6",12,4,0
5,"u6",17,12,0
5,"u6",22,11,0
5,"u6",27,13,0
5,"u6",32,13,0
5,"u6",37,32,5
5,"u6",42,18,0
5,"u6",47,21,12
5,"u6",52,10,1
5,"u7",7,8,0
5,"u7",12,22,0
5,"u7",17,46,2
5,"u7",22,15,0
5,"u7",27,15,6
5,"u7",32,7,2
5,"u7",37,9,0
5,"u7",42,0,0
5,"u7",47,2,0
5,"u7",52,9,0
5,"u8",7,9,0
5,"u8",12,15,2
5,"u8",17,59,1
5,"u8",22,25,1
5,"u8",27,6,0
5,"u8",32,13,2
5,"u8",37,25,14
5,"u8",42,36,4
5,"u8",47,31,5
5,"u8",52,15,36
5,"u9",7,2,0
5,"u9",12,1,1
5,"u9",17,2,0
5,"u9",22,11,0
5,"u9",27,16,0
5,"u9",32,25,0
5,"u9",37,20,5
5,"u9",42,6,0
5,"u9",47,0,0
5,"u9",52,0,0
6,"u1",7,4,0
6,"u1",12,13,0
6,"u1",17,48,1
6,"u1",22,35,3
6,"u1",27,10,3
6,"u1",32,3,1
6,"u1",37,2,0
6,"u1",42,0,0
6,"u1",47,0,0
6,"u1",52,0,0
6,"u2",7,4,1
6,"u2",12,5,0
6,"u2",17,13,0
6,"u2",22,22,2
6,"u2",27,11,1
6,"u2",32,5,4
6,"u2",37,1,0
6,"u2",42,6,2
6,"u2",47,1,0
6,"u2",52,0,0
6,"u3",7,4,0
6,"u3",12,5,0
6,"u3",17,27,1
6,"u3",22,23,2
6,"u3",27,38,5
6,"u3",32,67,20
6,"u3",37,21,9
6,"u3",42,9,7
6,"u3",47,9,0
6,"u3",52,15,1
6,"u4",7,6,0
6,"u4",12,7,0
6,"u4",17,10,0
6,"u4",22,17,0
6,"u4",27,8,0
6,"u4",32,11,2
6,"u4",37,6,0
6,"u4",42,2,0
6,"u4",47,0,0
6,"u4",52,0,0
6,"u5",7,3,0
6,"u5",12,8,0
6,"u5",17,19,1
6,"u5",22,25,6
6,"u5",27,15,1
6,"u5",32,16,8
6,"u5",37,9,4
6,"u5",42,11,1
6,"u5",47,10,1
6,"u5",52,1,0
6,"u6",7,2,1
6,"u6",12,2,0
6,"u6",17,19,0
6,"u6",22,62,2
6,"u6",27,54,1
6,"u6",32,53,22
6,"u6",37,17,14
6,"u6",42,3,1
6,"u6",47,1,0
6,"u6",52,0,0
6,"u7",7,0,0
6,"u7",12,5,1
6,"u7",17,17,0
6,"u7",22,25,0
6,"u7",27,5,0
6,"u7",32,9,0
6,"u7",37,8,0
6,"u7",42,16,0
6,"u7",47,11,2
6,"u7",52,2,0
6,"u8",7,8,0
6,"u8",12,16,0
6,"u8",17,24,3
6,"u8",22,28,1
6,"u8",27,46,4
6,"u8",32,11,0
6,"u8",37,1,0
6,"u8",42,0,0
6,"u8",47,0,0
6,"u8",52,0,0
6,"u9",7,2,0
6,"u9",12,3,0
6,"u9",17,9,0
6,"u9",22,16,1
6,"u9",27,31,1
6,"u9",32,29,3
6,"u9",37,28,2
6,"u9",42,7,1
6,"u9",47,13,0
6,"u9",52,12,12
7,"u1",7,1,0
7,"u1",12,1,1
7,"u1",17,3,0
7,"u1",22,8,0
7,"u1",27,4,0
7,"u1",32,9,1
7,"u1",37,6,0
7,"u1",42,2,0
7,"u1",47,0,0
7,"u1",52,2,0
7,"u2",7,4,0
7,"u2",12,4,0
7,"u2",17,7,0
7,"u2",22,24,0
7,"u2",27,19,1
7,"u2",32,8,1
7,"u2",37,13,1
7,"u2",42,14,0
7,"u2",47,8,1
7,"u2",52,11,4
7,"u3",7,0,0
7,"u3",12,2,0
7,"u3",17,2,0
7,"u3",22,20,0
7,"u3",27,13,0
7,"u3",32,7,0
7,"u3",37,25,1
7,"u3",42,12,2
7,"u3",47,14,0
