b,unit,day,dentadult,dentinf,lumadult,luminf
2,u8,47.0,1.0,2.0,11.0,3.0
2,u8,52.0,3.0,0.0,1.0,6.0
3,u1,7.0,4.0,0.0,3.0,0.0
3,u1,12.0,21.0,0.0,10.0,0.0
3,u1,17.0,30.0,0.0,5.0,2.0
3,u1,22.0,58.0,1.0,3.0,3.0
3,u1,27.0,61.0,0.0,14.0,1.0
3,u1,32.0,26.0,22.0,3.0,4.0
3,u1,37.0,7.0,4.0,5.0,0.0
3,u1,42.0,13.0,0.0,3.0,1.0
3,u1,47.0,10.0,2.0,1.0,0.0
3,u1,52.0,3.0,6.0,0.0,0.0
3,u2,7.0,5.0,0.0,1.0,0.0
3,u2,12.0,33.0,0.0,2.0,0.0
3,u2,17.0,18.0,0.0,6.0,0.0
3,u2,22.0,40.0,6.0,31.0,10.0
3,u2,27.0,18.0,0.0,28.0,14.0
3,u2,32.0,15.0,23.0,26.0,4.0
3,u2,37.0,8.0,0.0,26.0,0.0
3,u2,42.0,0.0,0.0,16.0,8.0
3,u2,47.0,2.0,0.0,0.0,10.0
3,u2,52.0,0.0,1.0,4.0,0.0
3,u3,7.0,4.0,0.0,1.0,0.0
3,u3,12.0,4.0,0.0,15.0,0.0
3,u3,17.0,17.0,0.0,6.0,1.0
3,u3,22.0,79.0,2.0,25.0,2.0
3,u3,27.0,19.0,0.0,80.0,3.0
3,u3,32.0,38.0,0.0,18.0,53.0
3,u3,37.0,3.0,2.0,3.0,17.0
3,u3,42.0,13.0,3.0,7.0,7.0
3,u3,47.0,32.0,1.0,8.0,1.0
3,u3,52.0,7.0,1.0,4.0,1.0
3,u4,7.0,2.0,0.0,0.0,0.0
3,u4,12.0,8.0,0.0,1.0,0.0
3,u4,17.0,10.0,1.0,19.0,1.0
3,u4,22.0,20.0,0.0,6.0,1.0
3,u4,27.0,26.0,2.0,18.0,1.0
3,u4,32.0,28.0,18.0,4.0,0.0
3,u4,37.0,13.0,4.0,3.0,4.0
3,u4,42.0,17.0,1.0,1.0,0.0
3,u4,47.0,10.0,2.0,2.0,0.0
3,u4,52.0,21.0,1.0,4.0,0.0
3,u5,7.0,6.0,0.0,4.0,0.0
3,u5,12.0,25.0,0.0,1.0,0.0
3,u5,17.0,30.0,3.0,4.0,0.0
3,u5,22.0,78.0,1.0,27.0,7.0
3,u5,27.0,41.0,22.0,50.0,10.0
3,u5,32.0,8.0,10.0,32.0,68.0
3,u5,37.0,0.0,6.0,5.0,2.0
3,u5,42.0,2.0,2.0,5.0,5.0
3,u5,47.0,1.0,1.0,1.0,7.0
3,u5,52.0,0.0,0.0,3.0,8.0
3,u6,7.0,6.0,0.0,4.0,0.0
3,u6,12.0,12.0,0.0,3.0,0.0
3,u6,17.0,31.0,0.0,17.0,0.0
3,u6,22.0,49.0,0.0,29.0,6.0
3,u6,27.0,137.0,10.0,30.0,13.0
3,u6,32.0,47.0,7.0,16.0,33.0
3,u6,37.0,18.0,12.0,12.0,5.0
3,u6,42.0,1.0,1.0,5.0,4.0
3,u6,47.0,0.0,3.0,0.0,1.0
3,u6,52.0,0.0,1.0,1.0,5.0
3,u7,7.0,4.0,0.0,1.0,0.0
3,u7,12.0,4.0,0.0,1.0,0.0
3,u7,17.0,0.0,0.0,3.0,0.0
3,u7,22.0,41.0,1.0,6.0,2.0
3,u7,27.0,60.0,5.0,29.0,7.0
3,u7,32.0,22.0,1.0,14.0,5.0
3,u7,37.0,6.0,0.0,1.0,5.0
3,u7,42.0,1.0,2.0,1.0,0.0
3,u7,47.0,0.0,1.0,3.0,1.0
3,u7,52.0,2.0,0.0,5.0,3.0
3,u8,7.0,3.0,0.0,0.0,0.0
3,u8,12.0,18.0,0.0,7.0,0.0
3,u8,17.0,23.0,0.0,5.0,1.0
3,u8,22.0,11.0,1.0,39.0,0.0
3,u8,27.0,28.0,4.0,41.0,3.0
3,u8,32.0,8.0,14.0,52.0,35.0
3,u8,37.0,28.0,31.0,34.0,29.0
3,u8,42.0,28.0,7.0,5.0,12.0
3,u8,47.0,3.0,6.0,4.0,0.0
3,u8,52.0,4.0,1.0,0.0,11.0
4,u1,7.0,9.0,0.0,0.0,0.0
4,u1,12.0,12.0,0.0,1.0,0.0
4,u1,17.0,27.0,0.0,9.0,0.0
4,u1,22.0,27.0,0.0,1.0,0.0
4,u1,27.0,49.0,0.0,2.0,0.0
4,u1,32.0,42.0,0.0,14.0,0.0
4,u1,37.0,92.0,1.0,16.0,1.0
4,u1,42.0,144.0,3.0,14.0,8.0
4,u1,47.0,30.0,25.0,13.0,7.0
4,u1,52.0,26.0,3.0,2.0,3.0
4,u2,7.0,3.0,0.0,0.0,0.0
4,u2,12.0,20.0,0.0,7.0,0.0
4,u2,17.0,11.0,2.0,9.0,0.0
4,u2,22.0,34.0,1.0,17.0,0.0
4,u2,27.0,40.0,10.0,15.0,8.0
4,u2,32.0,60.0,7.0,4.0,6.0
4,u2,37.0,21.0,9.0,3.0,6.0
4,u2,42.0,6.0,0.0,6.0,2.0
4,u2,47.0,8.0,0.0,1.0,1.0
4,u2,52.0,14.0,1.0,0.0,0.0
4,u3,7.0,4.0,0.0,1.0,0.0
4,u3,12.0,15.0,0.0,5.0,0.0
4,u3,17.0,51.0,0.0,17.0,0.0
4,u3,22.0,103.0,0.0,78.0,2.0
4,u3,27.0,184.0,11.0,63.0,16.0
4,u3,32.0,22.0,3.0,34.0,22.0
4,u3,37.0,24.0,10.0,10.0,8.0
4,u3,42.0,6.0,3.0,1.0,0.0
4,u3,47.0,2.0,1.0,1.0,9.0
4,u3,52.0,5.0,0.0,5.0,4.0
4,u4,7.0,8.0,0.0,1.0,0.0
4,u4,12.0,16.0,0.0,9.0,0.0
4,u4,17.0,26.0,1.0,7.0,0.0
4,u4,22.0,68.0,2.0,6.0,0.0
4,u4,27.0,111.0,9.0,8.0,2.0
4,u4,32.0,12.0,6.0,21.0,9.0
4,u4,37.0,65.0,26.0,2.0,7.0
4,u4,42.0,64.0,0.0,4.0,1.0
4,u4,47.0,27.0,42.0,3.0,3.0
4,u4,52.0,17.0,8.0,2.0,0.0
4,u5,7.0,3.0,0.0,1.0,0.0
4,u5,12.0,10.0,0.0,14.0,0.0
4,u5,17.0,50.0,1.0,10.0,0.0
4,u5,22.0,88.0,0.0,8.0,0.0
4,u5,27.0,52.0,4.0,20.0,0.0
4,u5,32.0,64.0,1.0,17.0,6.0
4,u5,37.0,48.0,2.0,12.0,1.0
4,u5,42.0,7.0,2.0,11.0,3.0
4,u5,47.0,15.0,7.0,14.0,6.0
4,u5,52.0,6.0,0.0,4.0,2.0
4,u6,7.0,9.0,0.0,0.0,0.0
4,u6,12.0,22.0,4.0,5.0,0.0
4,u6,17.0,37.0,0.0,2.0,1.0
4,u6,22.0,53.0,2.0,19.0,0.0
4,u6,27.0,70.0,25.0,21.0,12.0
4,u6,32.0,24.0,21.0,5.0,6.0
4,u6,37.0,11.0,0.0,2.0,2.0
4,u6,42.0,6.0,6.0,1.0,3.0
4,u6,47.0,12.0,10.0,0.0,0.0
4,u6,52.0,33.0,4.0,2.0,0.0
4,u7,7.0,4.0,0.0,2.0,0.0
4,u7,12.0,15.0,1.0,2.0,0.0
4,u7,17.0,113.0,1.0,15.0,0.0
4,u7,22.0,102.0,13.0,22.0,0.0
4,u7,27.0,67.0,15.0,4.0,0.0
4,u7,32.0,2.0,49.0,3.0,1.0
4,u7,37.0,12.0,6.0,0.0,4.0
4,u7,42.0,5.0,1.0,3.0,0.0
4,u7,47.0,20.0,6.0,2.0,0.0
4,u7,52.0,2.0,7.0,1.0,0.0
4,u8,7.0,5.0,0.0,4.0,0.0
4,u8,12.0,4.0,0.0,0.0,0.0
4,u8,17.0,5.0,0.0,3.0,0.0
4,u8,22.0,9.0,1.0,14.0,0.0
4,u8,27.0,102.0,1.0,30.0,4.0
4,u8,32.0,31.0,6.0,23.0,25.0
4,u8,37.0,56.0,69.0,21.0,2.0
4,u8,42.0,34.0,4.0,8.0,0.0
4,u8,47.0,26.0,5.0,5.0,0.0
4,u8,52.0,30.0,2.0,4.0,1.0
5,u1,7.0,3.0,0.0,4.0,0.0
5,u1,12.0,2.0,0.0,3.0,0.0
5,u1,17.0,19.0,2.0,6.0,1.0
5,u1,22.0,51.0,3.0,11.0,0.0
5,u1,27.0,27.0,1.0,23.0,9.0
5,u1,32.0,25.0,5.0,29.0,25.0
5,u1,37.0,18.0,9.0,15.0,41.0
5,u1,42.0,5.0,2.0,3.0,10.0
5,u1,47.0,6.0,11.0,0.0,1.0
5,u1,52.0,4.0,1.0,1.0,2.0
5,u2,7.0,10.0,0.0,3.0,0.0
5,u2,12.0,40.0,0.0,4.0,0.0
5,u2,17.0,110.0,1.0,11.0,0.0
5,u2,22.0,44.0,19.0,5.0,19.0
5,u2,27.0,120.0,0.0,9.0,5.0
5,u2,32.0,28.0,0.0,5.0,3.0
5,u2,37.0,17.0,2.0,1.0,0.0
5,u2,42.0,0.0,0.0,0.0,0.0
5,u2,47.0,0.0,0.0,0.0,0.0
5,u2,52.0,0.0,0.0,0.0,0.0
5,u3,7.0,3.0,1.0,2.0,0.0
5,u3,12.0,2.0,0.0,4.0,0.0
5,u3,17.0,14.0,0.0,9.0,0.0
5,u3,22.0,39.0,0.0,47.0,1.0
5,u3,27.0,44.0,0.0,52.0,4.0
5,u3,32.0,21.0,43.0,21.0,19.0
5,u3,37.0,14.0,1.0,4.0,3.0
5,u3,42.0,33.0,7.0,0.0,3.0
5,u3,47.0,25.0,5.0,0.0,1.0
5,u3,52.0,3.0,4.0,0.0,3.0
5,u4,7.0,5.0,0.0,1.0,0.0
5,u4,12.0,12.0,0.0,3.0,0.0
5,u4,17.0,86.0,0.0,14.0,0.0
5,u4,22.0,122.0,3.0,9.0,1.0
5,u4,27.0,69.0,25.0,20.0,2.0
5,u4,32.0,14.0,45.0,7.0,63.0
5,u4,37.0,47.0,4.0,13.0,5.0
5,u4,42.0,3.0,7.0,4.0,0.0
5,u4,47.0,33.0,17.0,1.0,2.0
