"truth","b","ll_null","AIC_null","k_null","ll_alt","AIC_alt","k_alt","Delta_AIC","selected"
"shared",47,-803.911361442556,1655.82272288511,24,-803.980999009717,1669.96199801943,31,14.1392751343233,"null"
"shared",48,-797.147667976923,1642.29533595385,24,-794.72335512436,1651.44671024872,31,9.15137429487504,"null"
"shared",49,-892.512186528726,1833.02437305745,24,-892.52113200571,1847.04226401142,31,14.0178909539686,"null"
"shared",50,-848.652392739719,1745.30478547944,24,-846.877507434571,1755.75501486914,31,10.4502293897042,"null"
"unit_specific",1,-870.447554956645,1788.89510991329,24,-857.490246932331,1776.98049386466,31,-11.9146160486282,"alt"
"unit_specific",2,-858.212233101451,1764.4244662029,24,-846.467741757923,1754.93548351585,31,-9.48898268705602,"alt"
"unit_specific",3,-852.138691149996,1752.27738229999,24,-841.02533761819,1744.05067523638,31,-8.22670706361168,"alt"
"unit_specific",4,-834.732659985449,1717.4653199709,24,-824.221134656402,1710.4422693128,31,-7.0230506580931,"alt"
"unit_specific",5,-878.285058554032,1804.57011710806,24,-866.809934489855,1795.61986897971,31,-8.95024812835368,"alt"
"unit_specific",6,-830.16299040708,1708.32598081416,24,-821.457644854294,1704.91528970859,31,-3.4106911055726,"alt"
"unit_specific",7,-857.175702950066,1762.35140590013,24,-841.197806894787,1744.39561378957,31,-17.9557921105586,"alt"
"unit_specific",8,-885.485327476313,1818.97065495263,24,-865.247917525526,1792.49583505105,31,-26.4748199015728,"alt"
"unit_specific",9,-844.347629810206,1736.69525962041,24,-830.703114623013,1723.40622924603,31,-13.2890303743848,"alt"
"unit_specific",10,-798.371758661153,1644.74351732231,24,-790.454915737548,1642.9098314751,31,-1.8336858472087,"alt"
"unit_specific",11,-870.087514316627,1788.17502863325,24,-850.864058428179,1763.72811685636,31,-24.4469117768972,"alt"
"unit_specific",12,-858.376396680312,1764.75279336062,24,-846.686877665738,1755.37375533148,31,-9.37903802914775,"alt"
"unit_specific",13,-875.464032687386,1798.92806537477,24,-857.987121362708,1777.97424272542,31,-20.9538226493573,"alt"
"unit_specific",14,-844.726455091394,1737.45291018279,24,-830.080184958176,1722.16036991635,31,-15.2925402664346,"alt"
"unit_specific",15,-865.082027182511,1778.16405436502,24,-850.256918974775,1762.51383794955,31,-15.6502164154722,"alt"
"unit_specific",16,-915.784841654695,1879.56968330939,24,-906.124721487981,1874.24944297596,31,-5.32024033342736,"alt"
"unit_specific",17,-860.459296774259,1768.91859354852,24,-841.91614318929,1745.83228637858,31,-23.0863071699378,"alt"
"unit_specific",18,-894.505571856421,1837.01114371284,24,-870.355061804993,1802.71012360999,31,-34.3010201028574,"alt"
"unit_specific",19,-862.682004045381,1773.36400809076,24,-851.933932620187,1765.86786524037,31,-7.49614285038979,"alt"
"unit_specific",20,-862.12089998289,1772.24179996578,24,-850.550148011251,1763.1002960225,31,-9.14150394327726,"alt"
"unit_specific",21,-853.412344457641,1754.82468891528,24,-847.418227944249,1756.8364558885,31,2.0117669732158,"null"
"unit_specific",22,-914.339302664089,1876.67860532818,24,-892.549811830094,1847.09962366019,31,-29.5789816679903,"alt"
"unit_specific",23,-889.451283177714,1826.90256635543,24,-875.116691888262,1812.23338377652,31,-14.6691825789039,"alt"
"unit_specific",24,-916.812836748844,1881.62567349769,24,-896.517484573794,1855.03496914759,31,-26.5907043500999,"alt"
"unit_specific",25,-891.460502477602,1830.9210049552,24,-881.502248122244,1825.00449624449,31,-5.91650871071602,"alt"
"unit_specific",26,-930.064831303828,1908.12966260766,24,-923.51979112911,1909.03958225822,31,0.90991965056287,"null"
"unit_specific",27,-894.933750058828,1837.86750011766,24,-886.349618302526,1834.69923660505,31,-3.16826351260329,"alt"
"unit_specific",28,-825.812997852462,1699.62599570492,24,-808.386962581758,1678.77392516352,31,-20.8520705414076,"alt"
"unit_specific",29,-820.658992830742,1689.31798566148,24,-814.592916920067,1691.18583384013,31,1.86784817865055,"null"
"unit_specific",30,-884.047714677274,1816.09542935455,24,-862.278922412529,1786.55784482506,31,-29.5375845294911,"alt"
"unit_specific",31,-825.453119359633,1698.90623871927,24,-809.531113968564,1681.06222793713,31,-17.8440107821366,"alt"
"unit_specific",32,-850.798862087651,1749.5977241753,24,-840.495772796045,1742.99154559209,31,-6.60617858321143,"alt"
"unit_specific",33,-842.006812727495,1732.01362545499,24,-825.739396959383,1713.47879391877,31,-18.5348315362244,"alt"
"unit_specific",34,-889.125171578955,1826.25034315791,24,-882.032429457628,1826.06485891526,31,-0.185484242653501,"alt"
"unit_specific",35,-822.940718828293,1693.88143765659,24,-816.020739733598,1694.0414794672,31,0.160041810611347,"null"
"unit_specific",36,-809.299023163415,1666.59804632683,24,-800.949290159723,1663.89858031945,31,-2.69946600738444,"alt"
"unit_specific",37,-859.919210769958,1767.83842153992,24,-846.751514609901,1755.5030292198,31,-12.3353923201146,"alt"
"unit_specific",38,-872.607074139194,1793.21414827839,24,-854.849657796672,1771.69931559334,31,-21.5148326850447,"alt"
"unit_specific",39,-929.748921912397,1907.4978438248,24,-917.457857120041,1896.91571424008,31,-10.5821295847122,"alt"
"unit_specific",40,-853.28193991333,1754.56387982666,24,-834.589945972998,1731.179891946,31,-23.3839878806643,"alt"
"unit_specific",41,-829.13913479808,1706.27826959616,24,-819.651069617074,1701.30213923415,31,-4.97613036201028,"alt"
"unit_specific",42,-865.217860760696,1778.43572152139,24,-848.432641096292,1758.86528219258,31,-19.5704393288083,"alt"
"unit_specific",43,-862.532562535559,1773.06512507112,24,-851.00703469178,1764.01406938356,31,-9.05105568755744,"alt"
