"b","unit","day","dentadult","dentinf","lumadult","luminf"
3,"u8",27,36,0,40,23
3,"u8",32,39,13,31,2
3,"u8",37,0,5,5,62
3,"u8",42,2,0,3,38
3,"u8",47,1,0,0,7
3,"u8",52,0,0,0,19
4,"u1",7,3,0,0,0
4,"u1",12,9,1,1,0
4,"u1",17,22,0,1,3
4,"u1",22,35,1,8,0
4,"u1",27,62,9,10,0
4,"u1",32,20,2,13,1
4,"u1",37,11,4,12,1
4,"u1",42,17,16,4,0
4,"u1",47,18,6,1,4
4,"u1",52,13,4,3,0
4,"u2",7,7,0,3,0
4,"u2",12,4,1,9,0
4,"u2",17,8,5,18,1
4,"u2",22,55,0,19,1
4,"u2",27,12,4,39,6
4,"u2",32,37,2,42,8
4,"u2",37,9,4,21,1
4,"u2",42,2,3,9,4
4,"u2",47,0,1,1,11
4,"u2",52,1,1,1,6
4,"u3",7,1,0,4,0
4,"u3",12,15,0,8,0
4,"u3",17,63,0,3,0
4,"u3",22,64,0,26,1
4,"u3",27,77,24,21,6
4,"u3",32,71,57,30,5
4,"u3",37,65,65,24,38
4,"u3",42,34,8,14,17
4,"u3",47,46,30,3,2
4,"u3",52,10,23,3,3
4,"u4",7,4,0,0,0
4,"u4",12,3,0,19,0
4,"u4",17,23,2,30,1
4,"u4",22,28,18,35,5
4,"u4",27,15,26,78,4
4,"u4",32,37,8,19,15
4,"u4",37,11,9,13,19
4,"u4",42,1,2,1,12
4,"u4",47,0,2,0,3
4,"u4",52,0,1,1,0
4,"u5",7,10,0,1,0
4,"u5",12,33,0,9,1
4,"u5",17,84,1,60,15
4,"u5",22,4,58,53,69
4,"u5",27,4,4,37,20
4,"u5",32,6,6,0,4
4,"u5",37,0,6,4,10
4,"u5",42,4,2,2,1
4,"u5",47,4,0,7,2
4,"u5",52,0,1,5,2
4,"u6",7,7,0,3,0
4,"u6",12,3,0,0,0
4,"u6",17,5,0,10,1
4,"u6",22,13,0,8,2
4,"u6",27,14,9,12,6
4,"u6",32,10,0,9,0
4,"u6",37,19,7,2,6
4,"u6",42,8,6,0,3
4,"u6",47,1,2,0,1
4,"u6",52,4,0,0,0
4,"u7",7,14,0,0,0
4,"u7",12,10,0,4,0
4,"u7",17,69,11,11,0
4,"u7",22,25,20,3,0
4,"u7",27,41,3,2,1
4,"u7",32,9,0,1,1
4,"u7",37,1,5,0,0
4,"u7",42,5,0,0,0
4,"u7",47,1,0,0,0
4,"u7",52,1,0,0,0
4,"u8",7,1,0,2,0
4,"u8",12,34,0,6,0
4,"u8",17,74,1,12,0
4,"u8",22,87,2,18,3
4,"u8",27,7,2,25,14
4,"u8",32,3,20,6,7
4,"u8",37,36,2,2,1
4,"u8",42,2,0,0,2
4,"u8",47,4,0,0,0
4,"u8",52,0,0,0,0
5,"u1",7,2,0,3,0
5,"u1",12,17,0,4,0
5,"u1",17,47,0,5,0
5,"u1",22,104,0,33,2
5,"u1",27,88,0,37,0
5,"u1",32,104,1,42,0
5,"u1",37,27,141,20,8
5,"u1",42,68,57,21,6
5,"u1",47,92,53,12,0
5,"u1",52,26,5,1,0
5,"u2",7,6,0,0,1
5,"u2",12,5,0,2,0
5,"u2",17,8,0,9,0
5,"u2",22,44,0,13,0
5,"u2",27,27,3,11,2
5,"u2",32,52,2,31,1
5,"u2",37,50,2,13,2
5,"u2",42,57,15,15,0
