"b","unit","day","lumadult"
5,"u7",52,173
5,"u8",7,1
5,"u8",12,2
5,"u8",17,9
5,"u8",22,2
5,"u8",27,34
5,"u8",32,64
5,"u8",37,107
5,"u8",42,51
5,"u8",47,26
5,"u8",52,2
5,"u9",7,4
5,"u9",12,17
5,"u9",17,16
5,"u9",22,25
5,"u9",27,76
5,"u9",32,88
5,"u9",37,36
5,"u9",42,75
5,"u9",47,85
5,"u9",52,14
5,"u10",7,5
5,"u10",12,24
5,"u10",17,3
5,"u10",22,26
5,"u10",27,63
5,"u10",32,31
5,"u10",37,27
5,"u10",42,3
5,"u10",47,9
5,"u10",52,17
6,"u1",7,1
6,"u1",12,3
6,"u1",17,5
6,"u1",22,28
6,"u1",27,38
6,"u1",32,60
6,"u1",37,129
6,"u1",42,269
6,"u1",47,106
6,"u1",52,160
6,"u2",7,1
6,"u2",12,0
6,"u2",17,4
6,"u2",22,1
6,"u2",27,5
6,"u2",32,22
6,"u2",37,13
6,"u2",42,108
6,"u2",47,44
6,"u2",52,26
6,"u3",7,2
6,"u3",12,6
6,"u3",17,34
6,"u3",22,272
6,"u3",27,324
6,"u3",32,42
6,"u3",37,344
6,"u3",42,29
6,"u3",47,118
6,"u3",52,63
6,"u4",7,1
6,"u4",12,8
6,"u4",17,14
6,"u4",22,23
6,"u4",27,8
6,"u4",32,183
6,"u4",37,118
6,"u4",42,51
6,"u4",47,19
6,"u4",52,1
6,"u5",7,0
6,"u5",12,3
6,"u5",17,1
6,"u5",22,12
6,"u5",27,41
6,"u5",32,174
6,"u5",37,282
6,"u5",42,41
6,"u5",47,8
6,"u5",52,5
6,"u6",7,2
6,"u6",12,4
6,"u6",17,14
6,"u6",22,10
6,"u6",27,16
6,"u6",32,42
6,"u6",37,38
6,"u6",42,42
6,"u6",47,68
6,"u6",52,5
6,"u7",7,4
6,"u7",12,7
6,"u7",17,9
6,"u7",22,17
6,"u7",27,27
6,"u7",32,42
6,"u7",37,61
6,"u7",42,217
6,"u7",47,172
6,"u7",52,34
6,"u8",7,4
6,"u8",12,19
6,"u8",17,8
6,"u8",22,3
6,"u8",27,2
6,"u8",32,2
6,"u8",37,1
6,"u8",42,10
6,"u8",47,20
6,"u8",52,27
6,"u9",7,0
6,"u9",12,2
6,"u9",17,12
6,"u9",22,28
6,"u9",27,29
6,"u9",32,20
6,"u9",37,13
6,"u9",42,16
6,"u9",47,35
6,"u9",52,10
6,"u10",7,5
6,"u10",12,1
6,"u10",17,2
6,"u10",22,6
6,"u10",27,34
6,"u10",32,4
6,"u10",37,79
6,"u10",42,87
6,"u10",47,33
6,"u10",52,53
7,"u1",7,8
7,"u1",12,15
7,"u1",17,46
7,"u1",22,54
7,"u1",27,36
7,"u1",32,218
7,"u1",37,39
7,"u1",42,32
7,"u1",47,7
7,"u1",52,5
7,"u2",7,1
7,"u2",12,5
7,"u2",17,0
7,"u2",22,45
7,"u2",27,52
7,"u2",32,87
7,"u2",37,25
7,"u2",42,7
7,"u2",47,3
7,"u2",52,4
7,"u3",7,3
7,"u3",12,15
7,"u3",17,13
7,"u3",22,8
7,"u3",27,36
7,"u3",32,21
7,"u3",37,18
7,"u3",42,208
7,"u3",47,229
7,"u3",52,46
7,"u4",7,7
7,"u4",12,0
7,"u4",17,1
7,"u4",22,18
7,"u4",27,0
7,"u4",32,7
7,"u4",37,1
7,"u4",42,6
7,"u4",47,0
7,"u4",52,49
7,"u5",7,3
7,"u5",12,5
7,"u5",17,5
7,"u5",22,8
7,"u5",27,91
7,"u5",32,42
7,"u5",37,19
7,"u5",42,11
7,"u5",47,20
7,"u5",52,11
7,"u6",7,1
7,"u6",12,1
7,"u6",17,17
7,"u6",22,6
7,"u6",27,43
7,"u6",32,14
7,"u6",37,22
7,"u6",42,10
7,"u6",47,63
7,"u6",52,73
7,"u7",7,1
7,"u7",12,1
7,"u7",17,1
7,"u7",22,24
7,"u7",27,6
7,"u7",32,35
7,"u7",37,50
7,"u7",42,67
7,"u7",47,30
7,"u7",52,6
7,"u8",7,13
7,"u8",12,11
7,"u8",17,95
7,"u8",22,32
7,"u8",27,4
7,"u8",32,34
7,"u8",37,57
7,"u8",42,66
7,"u8",47,45
7,"u8",52,19
7,"u9",7,0
7,"u9",12,1
7,"u9",17,36
7,"u9",22,49
7,"u9",27,55
7,"u9",32,69
7,"u9",37,54
7,"u9",42,19
7,"u9",47,18
7,"u9",52,8
7,"u10",7,4
7,"u10",12,17
7,"u10",17,29
7,"u10",22,28
7,"u10",27,108
7,"u10",32,34
7,"u10",37,16
7,"u10",42,23
7,"u10",47,27
7,"u10",52,42
8,"u1",7,0
8,"u1",12,17
8,"u1",17,18
8,"u1",22,80
8,"u1",27,401
8,"u1",32,40
8,"u1",37,9
8,"u1",42,36
8,"u1",47,20
8,"u1",52,6
8,"u2",7,5
8,"u2",12,9
8,"u2",17,22
8,"u2",22,21
8,"u2",27,34
8,"u2",32,129
8,"u2",37,107
8,"u2",42,133
8,"u2",47,8
8,"u2",52,18
8,"u3",7,2
8,"u3",12,1
8,"u3",17,6
8,"u3",22,18
8,"u3",27,23
8,"u3",32,27
8,"u3",37,26
8,"u3",42,5
8,"u3",47,20
8,"u3",52,11
8,"u4",7,16
8,"u4",12,10
8,"u4",17,8
8,"u4",22,12
8,"u4",27,20
8,"u4",32,35
8,"u4",37,97
8,"u4",42,6
8,"u4",47,5
8,"u4",52,6
8,"u5",7,7
8,"u5",12,15
8,"u5",17,121
8,"u5",22,119
8,"u5",27,91
8,"u5",32,26
8,"u5",37,11
8,"u5",42,29
8,"u5",47,0
8,"u5",52,7
8,"u6",7,0
8,"u6",12,6
8,"u6",17,6
8,"u6",22,19
8,"u6",27,3
8,"u6",32,18
8,"u6",37,24
8,"u6",42,6
8,"u6",47,8
8,"u6",52,9
8,"u7",7,0
8,"u7",12,2
8,"u7",17,8
8,"u7",22,9
8,"u7",27,14
8,"u7",32,99
8,"u7",37,94
8,"u7",42,18
8,"u7",47,136
8,"u7",52,163
8,"u8",7,7
8,"u8",12,24
8,"u8",17,22
8,"u8",22,23
8,"u8",27,17
8,"u8",32,6
8,"u8",37,7
8,"u8",42,24
8,"u8",47,17
